device /dev/input/event10, name "ELAN Touchscreen", phys "usb-0000:00:14.0-4.4/input0"
(InputEvent(1480382772L, 697036L, 3, 49, 1L), '---', 1L)
(InputEvent(1480382772L, 704268L, 3, 57, -1L), '---', -1L)
(InputEvent(1480382773L, 850083L, 3, 57, 1492L), '---', 1492L)
(InputEvent(1480382773L, 850083L, 3, 53, 2742L), '---', 2742L)
(InputEvent(1480382773L, 850083L, 3, 54, 1685L), '---', 1685L)
(InputEvent(1480382773L, 850083L, 3, 60, 2742L), '---', 2742L)
(InputEvent(1480382773L, 850083L, 3, 61, 1685L), '---', 1685L)
(InputEvent(1480382773L, 850083L, 3, 49, 2L), '---', 2L)
(InputEvent(1480382773L, 850083L, 3, 0, 2742L), '---', 2742L)
(InputEvent(1480382773L, 850083L, 3, 1, 1685L), '---', 1685L)
(InputEvent(1480382773L, 881648L, 3, 53, 2741L), '---', 2741L)
(InputEvent(1480382773L, 881648L, 3, 54, 1686L), '---', 1686L)
(InputEvent(1480382773L, 881648L, 3, 60, 2741L), '---', 2741L)
(InputEvent(1480382773L, 881648L, 3, 61, 1686L), '---', 1686L)
(InputEvent(1480382773L, 881648L, 3, 0, 2741L), '---', 2741L)
(InputEvent(1480382773L, 881648L, 3, 1, 1686L), '---', 1686L)
(InputEvent(1480382773L, 889615L, 3, 53, 2740L), '---', 2740L)
(InputEvent(1480382773L, 889615L, 3, 54, 1687L), '---', 1687L)
(InputEvent(1480382773L, 889615L, 3, 60, 2740L), '---', 2740L)
(InputEvent(1480382773L, 889615L, 3, 61, 1687L), '---', 1687L)
(InputEvent(1480382773L, 889615L, 3, 0, 2740L), '---', 2740L)
(InputEvent(1480382773L, 889615L, 3, 1, 1687L), '---', 1687L)
(InputEvent(1480382773L, 897607L, 3, 53, 2738L), '---', 2738L)
(InputEvent(1480382773L, 897607L, 3, 54, 1688L), '---', 1688L)
(InputEvent(1480382773L, 897607L, 3, 60, 2738L), '---', 2738L)
(InputEvent(1480382773L, 897607L, 3, 61, 1688L), '---', 1688L)
(InputEvent(1480382773L, 897607L, 3, 0, 2738L), '---', 2738L)
(InputEvent(1480382773L, 897607L, 3, 1, 1688L), '---', 1688L)
(InputEvent(1480382773L, 905607L, 3, 48, 2L), '---', 2L)
(InputEvent(1480382773L, 905607L, 3, 49, 1L), '---', 1L)
(InputEvent(1480382773L, 913661L, 3, 57, -1L), '---', -1L)
(InputEvent(1480382775L, 20273L, 3, 57, 1493L), '---', 1493L)
(InputEvent(1480382775L, 20273L, 3, 53, 883L), '---', 883L)
(InputEvent(1480382775L, 20273L, 3, 54, 1163L), '---', 1163L)
(InputEvent(1480382775L, 20273L, 3, 60, 883L), '---', 883L)
(InputEvent(1480382775L, 20273L, 3, 61, 1163L), '---', 1163L)
(InputEvent(1480382775L, 20273L, 3, 49, 2L), '---', 2L)
(InputEvent(1480382775L, 20273L, 3, 0, 883L), '---', 883L)
(InputEvent(1480382775L, 20273L, 3, 1, 1163L), '---', 1163L)
(InputEvent(1480382775L, 27769L, 3, 52, 0L), '---', 0L)
(InputEvent(1480382775L, 51984L, 3, 53, 882L), '---', 882L)
(InputEvent(1480382775L, 51984L, 3, 54, 1164L), '---', 1164L)
(InputEvent(1480382775L, 51984L, 3, 60, 882L), '---', 882L)
(InputEvent(1480382775L, 51984L, 3, 61, 1164L), '---', 1164L)
(InputEvent(1480382775L, 51984L, 3, 0, 882L), '---', 882L)
(InputEvent(1480382775L, 51984L, 3, 1, 1164L), '---', 1164L)
(InputEvent(1480382775L, 68641L, 3, 54, 1166L), '---', 1166L)
